episode,junction_id,phase_id,duration
1,cluster_12637978186_12637992859_12663377950_305427579,0,20
1,cluster_6098633245_6975349630_6975349631,0,24
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_6098633245_6975349630_6975349631,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_6098633245_6975349630_6975349631,2,24
1,cluster_6098633245_6975349630_6975349631,3,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_6098633245_6975349630_6975349631,4,24
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_6098633245_6975349630_6975349631,5,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_6098633245_6975349630_6975349631,0,24
1,cluster_6098633245_6975349630_6975349631,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_6098633245_6975349630_6975349631,2,24
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_6098633245_6975349630_6975349631,3,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_6098633245_6975349630_6975349631,4,24
1,cluster_6098633245_6975349630_6975349631,5,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_6098633245_6975349630_6975349631,0,24
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_6098633245_6975349630_6975349631,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_6098633245_6975349630_6975349631,2,24
1,cluster_6098633245_6975349630_6975349631,3,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_6098633245_6975349630_6975349631,4,24
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_6098633245_6975349630_6975349631,5,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_6098633245_6975349630_6975349631,0,24
1,cluster_6098633245_6975349630_6975349631,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_6098633245_6975349630_6975349631,2,24
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
<<<<<<< HEAD
1,cluster_6098633245_6975349630_6975349631,3,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_6098633245_6975349630_6975349631,4,24
1,cluster_6098633245_6975349630_6975349631,5,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_6098633245_6975349630_6975349631,0,24
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_6098633245_6975349630_6975349631,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
1,cluster_6098633245_6975349630_6975349631,2,24
1,cluster_6098633245_6975349630_6975349631,3,4
1,cluster_12637978186_12637992859_12663377950_305427579,0,14
1,cluster_12637978186_12637992859_12663377950_305427579,1,6
1,cluster_12637978186_12637992859_12663377950_305427579,2,14
1,cluster_6098633245_6975349630_6975349631,4,24
1,cluster_12637978186_12637992859_12663377950_305427579,3,6
